date,north,west,south,east
2023-10-31,33.75,119.25,28.75,124.25
2023-11-01,33.75,119.25,27.25,126.5
2023-11-02,32.25,121.5,23,128.5
2023-11-03,28,123.5,19.25,131.25
2023-11-04,24.25,126.25,15.5,134.25
2023-11-05,20.5,129.25,11.25,137.25
2023-11-06,16.25,132.25,7.5,140
2023-11-07,12.5,135,4,143.5
2023-11-08,9,138.75,0.75,147.5
2023-11-09,5.75,142.5,-1.25,149.75
2023-11-13,-6,152.75,-14,159.5
2023-11-14,-9,154.5,-18.25,162.25
2023-11-15,-13.25,157.25,-23,164.75
2023-11-16,-18,159.75,-28.75,165.75
2023-11-17,-23.75,159.5,-33.75,165.75
2023-11-18,-28.75,159,-36.5,166
2023-11-19,-31.5,161.25,-39.75,170.75
2023-11-20,-34.75,166,-42.75,175.25
2023-11-21,-37.75,170.25,-46,177
2023-11-22,-41,170.25,-46,175.25
2023-11-23,-41,170.25,-46,175.5
2023-11-24,-41,170.5,-46.5,176.25
2023-11-25,-41.5,171.25,-50.5,177.5
2023-11-26,-45.5,172.5,-54,177.5
2023-11-27,-49,172.5,-59,177.5
2023-11-28,-54,172.5,-64.5,179
2023-11-29,-59.5,177.5,-69,-177.5
2023-11-30,-64,179.75,-70.5,-174.5
2023-12-01,-65.5,-180,-72,-170.5
2023-12-02,-67,-176,-75,-168.25
2023-12-03,-70,-178.75,-77,-170.75
2023-12-04,-72,177.5,-78.5,-177.5
2023-12-05,-73,165.25,-78.25,172.75
2023-12-06,-72.5,161.5,-78.25,172.75
2023-12-07,-72.5,161.25,-77.5,166.5
2023-12-08,-72.5,161.25,-77.5,166.75
2023-12-09,-72.5,161.25,-77.5,166.75
2023-12-10,-72.5,161.25,-77.5,166.75
2023-12-11,-72.5,161.25,-77.5,166.75
2023-12-12,-72.25,161.25,-77.75,168
2023-12-13,-72,177.5,-78,-177.5
2023-12-14,-69,178.75,-77,-170.25
2023-12-15,-65.75,179.25,-74,-169.75
2023-12-16,-64,177.5,-70.75,-177.5
2023-12-17,-62.5,165.25,-69,177.25
2023-12-18,-58,162.75,-67.5,170
2023-12-19,-53.25,162.75,-63,168.5
2023-12-20,-48.75,163.5,-58.25,170.5
2023-12-21,-44.5,165.5,-53.75,173.75
2023-12-22,-41,168.75,-49.5,175.75
2023-12-23,-41,170.25,-46,175.25
2023-12-24,-41,170.25,-46,175.25
2023-12-25,-41,170.25,-47.75,175.75
2023-12-26,-42.75,170.75,-52,175.75
2023-12-27,-47.25,170.5,-56.25,175.75
2023-12-28,-51.25,170.25,-60,176.5
2023-12-29,-55,171.75,-63.5,-178.75
2023-12-30,-58.5,177.5,-66.75,-177.5
2023-12-31,-61.75,-176.5,-68,-160.5
2024-01-01,-63,-165.5,-68.5,-149.5
2024-01-02,-63.5,-154.5,-69.5,-137.5
2024-01-03,-64.5,-142.5,-70.5,-125
2024-01-04,-65.75,-130,-71,-117.5
2024-01-05,-66,-123.25,-72,-117
2024-01-06,-67,-122.75,-73.5,-117.5
2024-01-07,-68.5,-122.75,-74.5,-115.25
2024-01-08,-69.5,-120.25,-75.75,-112
2024-01-09,-70,-117,-75.75,-111.75
2024-01-10,-70,-117.25,-76.5,-109.5
2024-01-11,-70.5,-120,-76.5,-109.5
2024-01-12,-68.75,-131.25,-75.25,-115
2024-01-13,-69,-139.25,-76.75,-126.25
2024-01-14,-71.75,-139.5,-77.5,-134.25
2024-01-15,-71.5,-142.5,-77.5,-134.25
2024-01-16,-68.25,-147.5,-76.5,-137.25
2024-01-17,-67.5,-161.5,-73.25,-142.5
2024-01-18,-64.25,-170,-72.5,-156.5
2024-01-19,-59.75,-176.75,-69.25,-165
2024-01-20,-56.25,177.5,-64.75,-177.5
2024-01-21,-54.5,177.5,-61.25,-177.5
2024-01-22,-53.25,167.25,-59.5,177
2024-01-23,-51,166,-58.25,172.25
2024-01-24,-47,166,-56,173
2024-01-25,-42.75,168,-52,175.75
2024-01-26,-41,170.5,-47.75,176
2024-01-27,-41,170.25,-46,175.5
2024-01-28,-41,170.25,-46,175.25
2024-01-29,-41,170.25,-48.25,176.5
2024-01-30,-43.25,171.5,-52.5,177.75
2024-01-31,-47.5,172.75,-56.75,179.25
2024-02-01,-51.75,174.25,-61,-178.5
2024-02-02,-56,176.5,-66.5,-177.5
2024-02-03,-61.5,174.25,-72,-178.5
2024-02-04,-67.25,168,-77.25,179
2024-02-05,-72.25,161.25,-77.5,173
2024-02-06,-72.5,161.25,-77.5,166.75
2024-02-07,-72.5,161.25,-78,169
2024-02-08,-73,163,-80.25,169.25
2024-02-09,-72.5,161.5,-78.5,169.25
2024-02-10,-72.5,161.25,-77.5,167
2024-02-11,-72.5,161.25,-77.5,166.75
2024-02-12,-71.25,161.25,-77.5,174
2024-02-13,-67,165,-76.25,175.5
2024-02-14,-65.5,159.5,-72,170
2024-02-15,-64.75,157,-70.75,164.5
2024-02-16,-59.75,155,-69.75,162
2024-02-17,-54.5,155.25,-64.5,161
2024-02-18,-52,156,-59.5,161.5
2024-02-19,-52,156.5,-57.25,161.5
2024-02-20,-52,156.5,-57.25,161.75
2024-02-21,-48.25,157,-56.75,167.25
2024-02-22,-44.75,162.25,-53.25,172
2024-02-23,-41,167,-49.75,175.75
2024-02-24,-41,170.25,-46,175.5
2024-02-25,-41,170.25,-46,175.25
2024-02-26,-41,170,-48.25,175.75
2024-02-27,-43.5,168.75,-51,175
2024-02-28,-46,168.5,-52.75,173.75
2024-02-29,-47.75,168.75,-54.25,174.5
2024-03-01,-49.5,169.5,-56,176.25
2024-03-02,-51,171.25,-58.75,176.75
2024-03-03,-53.75,170.75,-63.75,176.75
2024-03-04,-58.75,170.25,-69.5,175.75
2024-03-05,-64.75,169.75,-75.5,175.25
2024-03-06,-70.5,161.25,-77.5,174.75
2024-03-07,-72.25,161.25,-77.5,169.25
2024-03-08,-69.25,164.25,-77.25,175.75
2024-03-09,-65.75,162.25,-74.25,175.5
2024-03-10,-63.5,154,-70.75,167.25
2024-03-11,-62.75,149.25,-68.5,159
2024-03-12,-61.25,139.75,-67.75,154.25
2024-03-13,-56.5,136.25,-66.25,144.75
2024-03-14,-51,136.75,-61.5,144
2024-03-15,-46,139,-56,147.75
2024-03-16,-42.25,143,-51,150.75
2024-03-17,-38.5,145.75,-47.25,152.75
2024-03-18,-34.75,148,-43.5,154.25
2024-03-19,-31,149.25,-39.75,155.25
2024-03-20,-30.5,149.25,-36,154.75
2024-03-21,-30.5,149.25,-35.5,154.25
2024-03-22,-29.25,149.25,-35.5,156.25
2024-03-23,-23.75,151.25,-34.25,156.75
2024-03-24,-18.25,151.5,-28.75,156.75
2024-03-25,-12.5,151.5,-23,157
2024-03-26,-6.75,151.75,-17.5,157.25
2024-03-27,-1.5,150.5,-11.75,156.75
2024-03-28,2,146.5,-6.5,155.5
2024-03-29,5.5,142.5,-3,151.5
2024-03-30,8.75,138.75,0.5,147.5
2024-03-31,12,134.75,3.75,143.75
2024-04-01,15,130.25,7,139.75
2024-04-02,18,125.75,10,135.25
2024-04-03,21,121.25,13,130.75
2024-04-04,23.25,116.75,16,126.25
2024-04-05,24.5,113.25,18.25,121.5
2024-04-06,24.75,111.75,19.5,118.25
2024-04-07,24.75,111.75,19.75,116.75
2024-04-08,24.75,111.75,19.75,116.75
2024-04-09,24.75,111.75,19.75,116.75
2024-04-10,24.75,111.75,19.75,116.75
2024-04-11,24.75,111.75,19.75,116.75
2024-04-12,24.75,111.75,19.5,118.5
2024-04-13,27.25,113.5,19.75,122
2024-04-14,30.5,117,22.25,124.5
2024-04-15,33.5,119.5,25.5,125.75
2024-04-16,33.75,119.25,28.5,125.25
